Date,Country,City,Killed,Injured,Description
2015-01-12,Iraq,Mosul,5,0.0,Five men are publicly executed by the caliphate because their wives did not wear a burqa.
2015-01-12,Egypt,Rafah,1,0.0,Muslim radicals kidnap and murder a local cop.
2015-01-12,Cameroon,Kolofata,1,6.0,At least one person is killed during a Boko Haram attack.
2015-01-12,Afghanistan,Khost,1,0.0,Taliban militants kill an educator on his way to work.
2015-01-12,Pakistan,Mekhtar,7,1.0,Seven security personnel are ambushed and killed by Sunni hardliners.
2015-01-12,Iraq,Mosul,2,0.0,A former pilot and his son are forced to kneel and then shot in the head by the Islamic State.
2015-01-12,Iraq,Baqubah,2,8.0,Two civilians are killed by ISIS shelling.
2015-01-12,Iraq,Mosul,13,0.0,Thirteen teenage boys are rounded up and executed by the Islamic State for the crime of watching soccer on TV.
2015-01-12,Iraq,Abasiyat,12,18.0,A dozen Shiites are sent to Allah by a Sunni suicide bomber.
2015-01-13,Libya,Ajdabiya,3,4.0,Three people are taken out by a Shahid suicide car bomber.
2015-01-13,Afghanistan,Kabul,2,2.0,Talibanis kill two civilians with a bomb planted in a Toyota.
2015-01-13,Syria,Raqaa,2,0.0,An ISIS video show a child executing two prisoners.
2015-01-13,Pakistan,Rizvia,2,0.0,Two members of a secular party are shot outside their home by suspected Taliban.
2015-01-13,Afghanistan,Paktia,3,0.0,Three civilians are pulled into pieces by a Taliban bomb.
2015-01-13,Iraq,Diyala,3,0.0,At least three men are abducted and murdered by fundamentalists for the 'UnIslamic' practice of raising birds.
2015-01-13,Egypt,Luxor,1,0.0,A Muslim radical shoots a 38-year-old Copt to death.
2015-01-13,Iraq,Samarrah,4,18.0,Sunni suicide bombers kill four Shiites.
2015-01-14,Iraq,al-Karma,11,0.0,A child is among eleven Iraqis executed in front of their families by ISIS.
2015-01-14,Iraq,Kobachi,16,0.0,Sixteen Islamic State victims are found shot in the back of the head.
2015-01-14,Iraq,Jalawa,6,0.0,Six bodies are found in an ISIS mass grave.
2015-01-14,Pakistan,Dera Ismail Khan,3,3.0,Three policemen bleed to death after suspected Taliban fire a rocket at them.
2015-01-14,Somalia,Puntland,2,3.0,Islamists murder two police officers at a remote post.
2015-01-14,Syria,Idlib,1,0.0,A woman is shot to death by al-Nusra for adultery.
2015-01-14,Nigeria,Gombe,2,14.0,"A suicide bomber detonates outside a mosque, taking two others with him."
2015-01-14,Pakistan,Dera Ismail Khan,1,0.0,"Religious militants lob a grenade into a house, killing one person."
2015-01-15,Syria,Mayadin,1,0.0,The caliphate beheads a captive.
2015-01-15,Algeria,Kabylie,1,0.0,"The body is found of a French tour guide, taken hostage by Jihadis and beheaded."
2015-01-15,Afghanistan,Almar,2,1.0,Two Afghans are opened wide by Taliban shrapnel.
2015-01-15,Syria,Mosul,2,0.0,Two men are thrown from the roof of a building by Islamists who cite Muhammad's rule for dealing with homosexuals.
2015-01-15,Iraq,Qayara,3,0.0,Three captives are publicly hanged by the caliphate.
2015-01-16,Niger,Zinder,1,22.0,"Muhammad cartoon protesters attack the police, killing one and injuring several."
2015-01-16,Nigeria,Gombe,6,10.0,At least a half dozen patrons at an outdoor market are sectionalized by a Fedayeen suicide bomber.
2015-01-16,Iraq,Baghdad,4,13.0,"Terrorists fire mortars into a neighborhood, killing four residents."
2015-01-16,Iraq,Zalaya,8,12.0,"Hardcore Islamists booby-trap a house, managing to kill eight security personnel lured to help the occupants."
2015-01-16,Iraq,Baqubah,1,0.0,A child is taken out by a suicide bomber.
2015-01-16,Syria,Deir Ezzor,16,0.0,Sixteen civilians are executed and 'mutilated' by the Islamic State.
2015-01-16,Iraq,Husseiniya,3,11.0,"Sunni bombers strike a Shiite commercial district, killing three."
2015-01-16,Iraq,Mosul,1,0.0,An engineer is executed by the Islamic State.
2015-01-16,Mali,Tenenkou,9,0.0,Nine people are murdered in a surprise attack by men shouting praises to Allah.
2015-01-17,Indonesia,Tamadue,5,0.0,Muslim terrorists murder five Christians in two attacks.
2015-01-17,Iraq,Sadr City,9,25.0,Sunnis blow up nine Shiites waiting for cell phone service outside a shop.
2015-01-17,Iraq,Samarra,22,0.0,Twenty-two people are reportedly killed by a Fedayeen suicide car bomber.
2015-01-17,Iraq,Mosul,5,0.0,Five women in their thirties are summarily executed by Muslim fundamentalists.
2015-01-17,Pakistan,Rawalpindi,3,0.0,A Shiite lawyer and his two nephews are sprayed with automatic weapons fire by dedicated Sunnis.
2015-01-17,Somalia,Baidoa,1,0.0,Islamists gun down a rival cleric.
2015-01-17,Mali,Kidal,1,1.0,A peacekeeper is murdered by Islamic extremists.
2015-01-17,India,Kulgam,1,1.0,Muslim radicals shoot a local cop to death.
2015-01-17,Iraq,Iskandariyah,4,14.0,"Jihadis set off a bomb at a vegetable market, killing four innocents."
2015-01-17,Iraq,Sabaa al-Bour,5,14.0,Five Shiites at a market are reduced to pulp by Sunni bombers.
2015-01-17,Syria,Deir Ezzor,17,0.0,Seventeen people are crucified by the Islamic State over a two day period.
2015-01-17,Niger,Zinder,1,0.0,An angry Muslim mob burns a church with one person inside.
2015-01-18,Iraq,Baiji,12,6.0,Twelve Iraqis lose their lives to an Islamic State attack.
2015-01-18,Pakistan,Korangi,1,0.0,A Shiite is shot to death by Sunni radicals.
2015-01-18,Pakistan,Nazimabad,2,0.0,Two guards are shot to death by Sunni Jihadis for providing security at a Shiite mosque.
2015-01-18,India,Bihar,1,0.0,A young Hindu man is murdered by Muslims for dating a Muslim girl. (This triggers a deadly riot).
2015-01-18,Nigeria,Potiskum,4,48.0,"A female suicide bomber detonates at a bus station, claiming four kills."
2015-01-18,Cameroon,Tourou,4,24.0,"Boko Haram capture dozens of children from a village, killing at least four who resist."
2015-01-18,Afghanistan,Helmand,4,10.0,Four Afghans are wiped out by a Shahid suicide bombing.
2015-01-18,Jordan,Zarqa,1,0.0,A woman's throat is slit by her three uncles for meeting with a man without permission.
2015-01-18,Afghanistan,Kandahar,0,3.0,A child is among the victims of a Fedayeen suicide bomber.
2015-01-18,Philippines,Danag,1,0.0,A local official is murdered by Abu Sayyaf.
2015-01-19,Afghanistan,Laghman,2,1.0,Two people are killed by a Taliban landmine.
2015-01-19,Pakistan,Karachi,4,1.0,Islamic militants are suspected in two shooting attacks that end the lives of four local cops.
2015-01-19,Afghanistan,Khost,1,6.0,A Taliban bomb at a shop leaves one dead.
2015-01-19,Pakistan,Karachi,1,0.0,A guard loses his life when Islamists attack a polio team.
2015-01-19,Iraq,Mahmoudiya,2,9.0,Jihadi bombers take down two civilians outside a cafe.
2015-01-19,Iraq,Hajaj,7,12.0,Seven Iraqis are disassembled by a series of Mujahid bomb blasts.
2015-01-19,Syria,Damascus,1,2.0,A child is killed when terrorists fire a mortar into a sports complex.
2015-01-20,Iraq,Baghdad,5,11.0,Five people outside a clinic are reduced to pulp by Religion of Peace bombers.
2015-01-20,Iraq,Mosul,1,0.0,An elderly cleric is put to depth for refusing allegiance to the caliph.
2015-01-20,Iraq,Sadr City,3,7.0,Sunnis blow up three Shiite bus passengers.
2015-01-20,Afghanistan,Jaghuri,8,2.0,Women and children are among eight civilians ripped to shreds by a Sunni roadside bomb.
2015-01-20,Iraq,Diyala,26,0.0,The bodies of over two dozen ISIS execution victims are discovered in a mass grave.
2015-01-21,Syria,New Sabri,2,35.0,A Fedayeen suicide bombing takes out two Christians.
2015-01-21,Syria,Homs,7,30.0,"Terrorists set off a car bomb in a shopping district, killing seven patrons."
2015-01-21,Israel,Tel Aviv,0,13.0,Thirteen bus passengers are stabbed by a Palestinian.
2015-01-21,Iraq,Albu Ghanem,2,13.0,A Fedayeen suicide bomber murders two Iraqis.
2015-01-22,Iraq,Samarra,4,14.0,A booby-trapped house produces four dead bodies.
2015-01-22,Iraq,Taji,8,21.0,Eight Iraqis are liquidated by a Fedayeen suicide bomber.
2015-01-22,Somalia,Mogadishu,5,23.0,Five people are blown to bits by a Shahid suicide bomber at a hotel.
2015-01-22,Libya,Sirte,2,0.0,Two men are shot to death by suspected Fajr Libya.
2015-01-22,Afghanistan,Lashkar Gah,2,16.0,A Shahid suicide bombing claims the lives of two locals.
2015-01-23,Lebanon,Ras Baalbak,3,7.0,"Islamists stage a cross-border attack on Lebanese troops, killing three."
2015-01-23,Iraq,Mosul,4,0.0,Four university professors are executed by the Islamic State.
2015-01-23,Iraq,Baghdad,2,11.0,A blast targeting soccer fans takes out two.
2015-01-23,Philippines,Zamboanga,2,54.0,An Abu Sayyaf car bombing outside a bar leaves two dead and four dozen injured.
2015-01-23,Libya,Tripoli,1,0.0,Islamists gun down a guard outside a UN office.
2015-01-23,Syria,Raqqa,1,0.0,A Japanese hostage is beheaded by the Islamic State.
2015-01-23,Nigeria,Kambari,15,0.0,Fifteen villagers are slaughtered by Boko Haram.
2015-01-23,Iraq,Muqdadiyah,7,0.0,Two journalists are among seven people reportedly killed by the Islamic State.
2015-01-23,Iraq,Basra,5,0.0,Five imams are assassinated by Religion of Peace rivals.
2015-01-23,Iraq,Sinjar,50,0.0,Fifty people are summarily executed by the Islamic State.
2015-01-23,Syria,Damascus,1,6.0,A civilian bleeds out following an al-Nusra mortar attack on a neighborhood.
2015-01-23,Nigeria,Bantaje,1,0.0,Muslim extremists butcher a pastor and father of two.
2015-01-24,Iraq,Zafaraniyah,4,13.0,"Jihadis bomb a Shiite restaurant, killing four patrons."
2015-01-24,Pakistan,Korangi,2,0.0,Two Shiite shopkeepers are murdered by Sunni radicals.
2015-01-24,Iraq,Baghdad,3,8.0,A bomb blast at a cafe leaves three dead.
2015-01-24,Iraq,al-Amin,3,7.0,Sunnis take out three Shiites with a bomb planted near a produce stand.
2015-01-24,Iraq,Baghdad,3,8.0,Terrorists kill three civilians with a car bomb.
2015-01-25,Philippines,Barangay Tukanalipao,49,11.0,"Moro Islamists open fire on police, killing nearly fifty."
2015-01-25,Iraq,Baghdad,7,11.0,A bomb placed outside a restaurant nets seven dead bodies.
2015-01-25,Iraq,Baghdad,4,8.0,Four patrons are killed when Jihadis bomb a cafe.
2015-01-25,Iraq,Arab Jabour,3,2.0,Three defense volunteers are pulled into pieces by an ISIS bomb.
2015-01-25,Iraq,Mosul,7,0.0,Seven women are executed for refusing 'temporary marriage' with caliphate members.
2015-01-25,Iraq,Tikrit,4,0.0,Four Iraqis are executed by the Islamic State.
2015-01-25,Pakistan,Karachi,1,0.0,A Shiite dies from injuries suffered during a targeted attack by Sipah-e-Sahaba.
2015-01-25,Syria,Damascus,7,43.0,At least seven are killed when Jaysh al-Islam send dozens of rockets into a neighborhood.
2015-01-25,Iraq,Mosul,1,0.0,A captive is beheaded on video by ISIS.
2015-01-25,Syria,Aleppo,3,11.0,Sunni terrorists kill three civilians with a rocket attack on their neighborhood.
2015-01-26,Yemen,Abyan,5,0.0,Five local soldiers are ambushed and killed by al-Qaeda.
2015-01-26,Pakistan,Karachi,1,0.0,Fundamentalist gunmen pick off a guard for a polio team.
2015-01-26,Afghanistan,Kabul,1,0.0,A former court official is assassinated by suspected Taliban.
2015-01-26,Iraq,Barwanah,72,0.0,Shiite militias pull seventy-two Sunnis from their homes and execute them.
2015-01-26,Iraq,Abu Ghraib,6,8.0,Children are among six civilians disassembled by a Mujahideen blast targeting an humanitarian aid agency.
2015-01-26,Syria,al-Shadadi,1,0.0,A young man is beheaded to shouts of 'Allah Akbar.'
2015-01-26,Nigeria,Michika,30,6.0,Thirty people are reported killed when Boko Haram attack two villages.
2015-01-27,Iraq,Maria,6,0.0,Six civilians are executed for arguing with caliphate members.
2015-01-27,Iraq,Mosul,10,0.0,Ten more physicians are reported executed by the Islamic State.
2015-01-27,Iraq,Saladin,10,0.0,Ten Kurds are lined up and shot in the head by devout Sunnis chanting praises to Allah.
2015-01-27,Egypt,Alexandria,1,2.0,Fundamentalists set off a car bomb that leaves one dead.
2015-01-27,Afghanistan,Kot,2,0.0,Two brothers are shot to death by suspected Taliban.
2015-01-27,India,Tral,1,1.0,"Hizb-ul-Mujahideen gunmen open fire on a security patrol, killing one member."
2015-01-27,Iraq,Tikrit,6,4.0,A half dozen Iraqis are blown to bits by Mujahideen bombers.
2015-01-27,Libya,Tripoli,10,2.0,Five foreign guests and five guards are killed when Islamists storm a hotel after setting off a bomb.
2015-01-28,Somalia,Kismayu,13,0.0,At least thirteen others lose their lives to an al-Shabaab attack.
2015-01-28,Afghanistan,Ghanzi,11,6.0,Eleven Afghans are shot to death by Sunni hardliners.
2015-01-28,Pakistan,Sargodha,4,0.0,A man shoots his sister and three children to death over suspicion of unIslamic morals.
2015-01-28,Nigeria,Adamawa,10,0.0,Ten more victims are reported 'slaughtered like rams' from a seven town murderous rampage by Boko Haram.
2015-01-28,Lebanon,Shebaa Farms,2,7.0,Two Israeli soldiers are killed by Hezbollah terrorists.
2015-01-28,Mali,Tabankort,9,0.0,At least nine are killed by two suicide bombers.
2015-01-28,Afghanistan,Herat,1,2.0,A woman is taken out by a Taliban bomb.
2015-01-28,Yemen,Radda,7,5.0,Seven Shiites are laid out during an al-Qaeda attack on a house.
2015-01-29,Iraq,Latifiyah,1,2.0,A woman bleeds to death following a Mujahid bomb blast.
2015-01-29,Egypt,Sheikh Zuweid,3,0.0,Three people are kidnapped and beheaded by Ansar Beit Al Maqdis.
2015-01-29,Iraq,Youssifiyah,4,12.0,"Terrorists bomb an outdoor market, killing four patrons."
2015-01-29,Iraq,Mahmoudiya,2,10.0,A Jihadi bomb at a commercial center claims the lives of two bystanders.
2015-01-29,Yemen,Marib,2,2.0,Two local soldiers are murdered by al-Qaeda.
2015-01-29,Afghanistan,Kabul,3,1.0,Three US contractors are shot in the back by a terrorist in uniform.
2015-01-29,Iraq,Tarmiya,3,11.0,Three people in a farming community are laid out by a Mujahideen blast.
2015-01-29,Egypt,Rafah,1,6.0,"Ansar Bayt al-Maqdis open fire on a police checkpoint, killing one member."
2015-01-29,Afghanistan,Mesri Kala,4,0.0,Three civilians are among four killed by a Taliban landmine.
2015-01-29,Afghanistan,Jalalabad,1,2.0,A child is sectionalized by a Religion of Peace bomb blast.
2015-01-29,Egypt,al-Arish,26,58.0,Over two dozen civilians and soldiers are killed when Ansar Beit al-Maqdis attack a hotel and barracks with rockets.
2015-01-29,Afghanistan,Mehtarlam,16,39.0,Sixteen mourners at a funeral are shredded by a Shahid suicide bomber.
2015-01-29,Ireland,North Belfast,1,0.0,An immigrant from Somalia stabs a man to death on the street while yelling a 'Jihadi war cry'.
2015-01-29,Iraq,Mishahada,7,28.0,A double suicide bombing produces seven dead Iraqis including first responders.
2015-01-30,Iraq,Baghdad,27,30.0,Over two dozen people are killed in back to back Jihad bombings.
2015-01-30,Iraq,Jalawla,7,0.0,At least seven Kurds are killed by a suicide bomber.
2015-01-30,Iraq,Samarrah,14,29.0,Fourteen Iraqis lose their lives to two Fedayeen suicide blasts.
2015-01-30,Iraq,Nukhaib,6,0.0,A half-dozen people are incinerated when a suicide truck bomber rams a reception hall.
2015-01-30,Nigeria,Nwonko,27,0.0,Women and children comprise the bulk of twenty-seven villagers massacred by Fulani terrorists.
2015-01-30,Pakistan,Shikarpur,61,100.0,"A Jundullah member sets off explosives inside a crowded Shia mosque, killing over sixty members including children."
2015-01-30,Thailand,Pattani,1,3.0,A Buddhist police officer is ambushed and killed by Muslim gunmen.
2015-01-30,Afghanistan,Dara-e-Suf,0,7.0,Sunnis bomb a rival mosque during Friday prayers.
2015-01-30,Pakistan,Orangi,1,0.0,A man dies from head injuries suffered during a fundamentalist attack on a polio team.
2015-01-30,Cameroon,Fotokol,3,12.0,Three defenders are killed during a cross-border raid by Boko Haram.
2015-01-30,Egypt,al-Arish,1,0.0,A 50-year-old road worker is shot in the head by Ansar Beit al-Maqdis.
2015-01-30,Iraq,al-Dour,37,0.0,Forty-four people are abducted from their homes by the Islamic State - which subsequently executed thirty-seven.
2015-01-30,Iraq,Kirkuk,6,70.0,"ISIS fighters fire rockets into a town, killing at least six."
2015-01-30,Syria,Tal Abyad,1,0.0,A gay man is thrown from a roof and then beaten to death when he survives.
2015-01-30,Egypt,Sheikh Zuweid,2,0.0,Two children die from gunshot injuries suffered during an attack by Islamic fundamentalists.
2015-01-31,Iraq,Madain,4,11.0,Four people at a sheep market are sectionalized by a Jihadi bomb blast.
2015-01-31,Iraq,Baghdad,3,10.0,Mujahid bombers lay out three people near an auto repair shop.
2015-01-31,Iraq,Baghdad,3,10.0,Three civilians are killed when ISIS fire mortars into their neighborhood.
2015-01-31,Afghanistan,Herat,2,2.0,A man and his son are reduced to parts by a bomb planted by religious hardliners
2015-01-31,Pakistan,Karachi,1,0.0,A 70-year-old Shiite is murdered by Sipah e-Sahaba.
2015-01-31,Afghanistan,Nuristan,4,0.0,Four border guards are taken out by Taliban bombers.
2015-01-31,Syria,Raqqa,1,0.0,A Japanese journalist who converted to Christianity is beheaded by caliphate members in the name of Allah.
2015-01-31,Iraq,Harbaya,6,0.0,Six members of a family are exterminated by a Shahid suicide bomber.
2015-01-31,Egypt,al-Arish,1,0.0,A 50-year-old Copt is shot to death in his home simply because of his religion.
2015-02-01,Iraq,Sinuni,25,0.0,"Twenty-five Yazidi victims of an ISIS execution are discovered, including women and children."
2015-02-01,Nigeria,Dalwa,22,5.0,Nearly two dozen others lose their lives during a Boko Haram attack.
2015-02-01,Iraq,Sensil,11,0.0,The remains of eleven ISIS execution victims are found in a mass grave.
2015-02-01,Iraq,Karaghol,2,5.0,Jihadis blow up two civilians.
